#	Isochrone	Z = 0.00000		Age = 	1.995e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	u' 	g' 	r' 	i' 	z' 	Flum
	6.35	2.29999995	2.3000	1.7279	4.1881	4.7702	0.450	1.964	1.628	1.998	2.289	2.553	-0.24062108
	6.35	2.40000010	2.4000	1.7984	4.2024	4.7753	0.274	1.831	1.532	1.909	2.204	2.474	-0.22718572
	6.35	2.50000000	2.5000	1.8636	4.2185	4.7924	0.111	1.719	1.460	1.845	2.145	2.420	-0.21500434
	6.35	3.00000000	3.0000	2.1445	4.2799	4.8362	-0.591	1.219	1.104	1.519	1.836	2.130	-0.16809413
	6.35	4.00000000	4.0000	2.5872	4.3741	4.8952	-1.698	0.445	0.524	0.982	1.322	1.641	-0.11399485
	6.35	5.00000000	4.9999	2.9091	4.4435	4.9478	-2.503	-0.111	0.088	0.577	0.936	1.272	-0.08434449
	6.35	6.00000000	5.9999	3.1580	4.4985	4.9980	-3.125	-0.574	-0.281	0.233	0.604	0.954	-0.06594199
	6.35	7.00000000	6.9999	3.3590	4.5444	5.0476	-3.628	-0.953	-0.587	-0.060	0.318	0.675	-0.05355301
	6.35	8.00000000	7.9998	3.5523	4.5882	5.0875	-4.111	-1.243	-0.830	-0.299	0.078	0.436	-0.04471927
	6.35	8.18655300	8.1863	3.5854	4.5954	5.0932	-4.193	-1.285	-0.867	-0.335	0.040	0.398	-0.04334907
	6.35	8.30000019	8.2998	3.6055	4.5998	5.0969	-4.244	-1.311	-0.889	-0.357	0.018	0.376	-0.04255110
	6.35	9.00000000	8.9997	3.7181	4.6247	5.1189	-4.525	-1.426	-0.991	-0.458	-0.084	0.275	-0.03814511
	6.35	9.50000000	9.4997	3.7920	4.6408	5.1329	-4.710	-1.495	-1.053	-0.518	-0.143	0.216	-0.03546005
	6.35	9.85291862	9.8526	3.8408	4.6515	5.1428	-4.832	-1.540	-1.093	-0.557	-0.182	0.177	-0.03375621
	6.35	10.00000000	9.9997	3.8605	4.6559	5.1469	-4.881	-1.557	-1.109	-0.572	-0.197	0.163	-0.03308767
	6.35	10.04769039	10.0474	3.8669	4.6572	5.1482	-4.897	-1.563	-1.114	-0.577	-0.202	0.158	-0.03287584
